lead_h,pearson,spearman,bias_ratio
6,0.5033114731320081,0.7862002531727573,0.9063534425110947
12,0.5640966194542658,0.4329733625685312,1.0706102235965076
18,0.5168814883571765,0.5542766279904037,1.2937655934482821
24,0.6249586250150755,0.8196358404077196,0.8511333639808971
30,0.4314265788904599,0.7624143062509422,0.9424422671115883
36,0.49006019526726563,0.4128394723378981,1.105573940528923
42,0.5131993889779359,0.5480015595539006,1.3320632019222292
48,0.5864652664823777,0.8074996496529696,0.887382931952434
54,0.33742592275062855,0.751529473532784,0.9928634448161321
60,0.4117480762315054,0.40519835216037375,1.166538008424275
66,0.4717449665732892,0.5400446155969333,1.4450141130458984
72,0.5750265965570802,0.7921248588843186,0.950835566908774
78,0.3779519827346338,0.73991473206224,1.047300522794089
84,0.4154474541008077,0.40129100129079287,1.1761225744706862
90,0.4227598626524985,0.5300601187238385,1.4443446427058477
96,0.5612735282607618,0.779821436946073,0.9436666157812835
102,0.3795431071531091,0.7184924652587367,1.0144484610090991
108,0.3769128484988067,0.3963023226435235,1.0922480935112058
114,0.34978850723845994,0.5117908406908345,1.4101603624288812
120,0.5211928529669897,0.7711969638240143,0.9589033739007957
126,0.2770059937389239,0.7038653288945408,1.0045068501998413
132,0.288953393481352,0.3864055500190949,1.0517976740943085
138,0.3159960743887533,0.4989293975241314,1.3987063649135703
144,0.49763928389471856,0.7452606004234386,0.9592458867431289
150,0.24982198669645553,0.669563391284631,0.9587743974736368
156,0.30868028150542876,0.35469930153051654,1.0383316177944122
162,0.27894252705637984,0.4742085775883583,1.4192171227730113
168,0.46128216164577424,0.7134584242282267,0.9935973379375671
